연령계층별,시점,인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%]
15세 이상 전체,2010.04 월,40703.2,25052.5,24116.4,936.1,15650.7,61.5,3.7,59.2
15세 이상 전체,2010.05 월,40747.7,25292.7,24495.1,797.6,15455,62.1,3.2,60.1
15세 이상 전체,2010.06 월,40788.1,25352.3,24474.2,878.1,15435.8,62.2,3.5,60
15세 이상 전체,2010.07 월,40840.4,25435.2,24499.6,935.6,15405.1,62.3,3.7,60
15세 이상 전체,2010.08 월,40889.4,25050.5,24214.3,836.2,15838.9,61.3,3.3,59.2
15세 이상 전체,2010.09 월,40932.9,25133.9,24270.2,863.8,15798.9,61.4,3.4,59.3
15세 이상 전체,2010.10 월,40979.3,25236,24398,838,15743.3,61.6,3.3,59.5
15세 이상 전체,2010.11 월,41031.2,25091.5,24346.6,744.9,15939.7,61.2,3,59.3
15세 이상 전체,2010.12 월,41090.2,24790.2,23931.3,858.9,16300,60.3,3.5,58.2
15세 이상 전체,2011.01 월,41141.1,24362.4,23438.9,923.5,16778.7,59.2,3.8,57
15세 이상 전체,2011.02 월,41186,24693.5,23589.2,1104.3,16492.6,60,4.5,57.3
15세 이상 전체,2011.03 월,41234.8,25192.9,24114.2,1078.7,16041.9,61.1,4.3,58.5
15세 이상 전체,2011.04 월,41278.7,25524.4,24580.5,943.9,15754.2,61.8,3.7,59.5
